,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
326,юр. лицо,списание средств,430.89,наличный,Гродно,Приорбанк-CNFC-694,29-10-2009,03:59:30,недостаточно средств,нет,0.0
328,юр. лицо,списание средств,451.82,наличный,Гомель,Беларусбанк-HPBL-802,08-01-2015,13:19:59,успешно,нет,0.0
329,юр. лицо,получение средств,587.74,безналичный,Могилев,Белинвестбанк-EJUT-433,14-11-2001,10:16:01,успешно,нет,0.0
334,юр. лицо,списание средств,876.63,наличный,Брест,БелАгропромбанк-HPZI-453,12-08-2022,00:44:58,недостаточно средств,нет,0.0
340,юр. лицо,получение средств,851.15,наличный,Гомель,Приорбанк-DUCZ-854,06-11-2012,20:03:12,успешно,нет,0.0
341,физ. лицо,списание средств,988.35,наличный,Могилев,МаксБанк-PFWG-338,14-09-2016,05:24:47,недостаточно средств,нет,0.0
352,физ. лицо,получение средств,35.92,наличный,Брест,Беларусбанк-KBFO-415,24-04-2021,22:22:57,успешно,нет,0.0
360,физ. лицо,получение средств,132.79,безналичный,Гродно,Приорбанк-KNTO-006,13-05-2024,20:19:44,успешно,нет,0.0
364,физ. лицо,получение средств,954.98,наличный,Гродно,Беларусбанк-ZQWI-168,04-12-2012,18:23:04,успешно,нет,0.0
368,физ. лицо,получение средств,273.98,наличный,Могилев,Белинвестбанк-QJEM-371,27-12-2016,21:51:48,успешно,нет,0.0
378,физ. лицо,списание средств,955.84,безналичный,Могилев,Приорбанк-QZDH-978,19-02-2023,10:38:51,успешно,да,67.47
379,юр. лицо,получение средств,557.18,безналичный,Могилев,Белинвестбанк-HZXC-114,22-06-2020,01:26:20,успешно,нет,0.0
388,юр. лицо,получение средств,649.05,безналичный,Гродно,Белинвестбанк-FCZM-745,29-05-2001,11:42:24,успешно,нет,0.0
390,юр. лицо,списание средств,773.51,безналичный,Гомель,Беларусбанк-RLHQ-987,05-12-2004,14:00:13,неправильный ввод пин-кода,нет,0.0
396,физ. лицо,получение средств,503.34,безналичный,Гомель,Беларусбанк-HTXW-199,21-10-2003,06:02:18,успешно,нет,0.0
400,физ. лицо,получение средств,717.25,наличный,Гродно,БелАгропромбанк-VFGJ-435,10-07-2019,02:07:59,успешно,нет,0.0
408,юр. лицо,получение средств,258.71,безналичный,Минск,Белинвестбанк-BYCJ-391,20-08-2006,08:11:44,успешно,нет,0.0
412,юр. лицо,списание средств,643.09,безналичный,Могилев,Приорбанк-XDFM-872,06-09-2015,10:10:04,недостаточно средств,нет,0.0
414,юр. лицо,получение средств,665.43,безналичный,Брест,Беларусбанк-TDXR-776,12-08-2015,19:31:27,успешно,нет,0.0
415,физ. лицо,списание средств,150.46,наличный,Брест,Приорбанк-VZTC-607,26-12-2011,04:32:15,недостаточно средств,да,7.35
417,физ. лицо,получение средств,113.84,наличный,Могилев,МаксБанк-UGVO-981,16-10-2014,13:34:14,успешно,нет,0.0
420,юр. лицо,получение средств,496.02,наличный,Могилев,МаксБанк-SUPQ-987,06-04-2013,23:40:18,успешно,нет,0.0
422,физ. лицо,получение средств,152.62,наличный,Брест,Беларусбанк-VOIL-601,01-10-2014,06:00:58,успешно,нет,0.0
428,физ. лицо,получение средств,111.08,наличный,Могилев,Беларусбанк-QPOD-715,20-06-2005,18:45:23,успешно,нет,0.0
429,юр. лицо,получение средств,762.93,безналичный,Могилев,БелАгропромбанк-ULAZ-497,09-04-2010,00:04:13,успешно,нет,0.0
433,юр. лицо,списание средств,475.7,безналичный,Гродно,МаксБанк-AHUS-401,29-03-2017,11:56:23,неправильный ввод пин-кода,да,15.99
438,юр. лицо,списание средств,877.1,безналичный,Брест,БелАгропромбанк-HOHL-809,03-04-2013,16:22:50,неправильный ввод пин-кода,да,50.82
442,юр. лицо,списание средств,135.15,наличный,Гомель,Беларусбанк-RRRL-432,03-04-2013,02:41:46,неправильный ввод пин-кода,нет,0.0
445,юр. лицо,списание средств,192.7,безналичный,Брест,Беларусбанк-BTCF-431,01-05-2019,11:29:06,недостаточно средств,нет,0.0
448,физ. лицо,получение средств,192.54,безналичный,Витебск,МаксБанк-OSJO-636,28-03-2024,08:28:28,успешно,нет,0.0
462,физ. лицо,получение средств,153.04,безналичный,Витебск,Беларусбанк-WUXX-466,27-04-2019,11:41:46,успешно,нет,0.0
467,физ. лицо,получение средств,496.52,безналичный,Брест,Приорбанк-QQQZ-275,04-05-2007,11:46:00,успешно,нет,0.0
474,юр. лицо,списание средств,566.02,наличный,Могилев,БелАгропромбанк-ZPAM-482,13-02-2019,16:27:50,успешно,да,19.85
475,физ. лицо,получение средств,569.13,наличный,Гомель,Приорбанк-ZEKP-823,13-01-2024,19:36:48,успешно,нет,0.0
480,юр. лицо,списание средств,443.28,безналичный,Могилев,МаксБанк-LALZ-120,15-07-2023,09:54:49,недостаточно средств,нет,0.0
483,физ. лицо,списание средств,200.51,безналичный,Гомель,БелАгропромбанк-BWTK-565,14-06-2014,04:20:34,неправильный ввод пин-кода,да,7.63
487,юр. лицо,получение средств,123.54,безналичный,Минск,БелАгропромбанк-IOBA-328,04-02-2021,21:54:46,успешно,нет,0.0
489,юр. лицо,списание средств,151.4,наличный,Брест,БелАгропромбанк-RMEL-201,25-07-2024,04:45:55,неправильный ввод пин-кода,да,2.07
493,юр. лицо,списание средств,535.53,безналичный,Брест,Беларусбанк-PYBN-243,03-02-2009,17:15:14,недостаточно средств,да,48.92
496,юр. лицо,списание средств,134.07,безналичный,Брест,Беларусбанк-BREV-405,04-08-2001,06:06:13,успешно,нет,0.0
501,юр. лицо,получение средств,667.03,безналичный,Витебск,БелАгропромбанк-NJVV-360,23-11-2012,07:46:15,успешно,нет,0.0
504,юр. лицо,списание средств,176.41,безналичный,Могилев,Беларусбанк-MYWJ-636,09-06-2004,06:58:29,успешно,да,17.05
506,юр. лицо,списание средств,837.71,наличный,Брест,Беларусбанк-URRZ-894,02-10-2004,11:23:42,недостаточно средств,нет,0.0
517,физ. лицо,получение средств,645.84,безналичный,Гомель,БелАгропромбанк-YBAV-950,05-01-2011,11:10:48,успешно,нет,0.0
520,юр. лицо,списание средств,496.06,наличный,Гродно,МаксБанк-FUNG-313,11-03-2011,05:19:48,успешно,да,15.05
524,физ. лицо,списание средств,532.24,наличный,Минск,Беларусбанк-GAUX-707,02-10-2018,18:46:07,недостаточно средств,да,23.86
525,физ. лицо,списание средств,575.9,безналичный,Брест,Белинвестбанк-ODNQ-413,06-09-2013,23:36:27,успешно,да,30.96
526,юр. лицо,списание средств,588.64,наличный,Могилев,Беларусбанк-MAQG-110,21-04-2008,02:02:45,неправильный ввод пин-кода,нет,0.0
532,юр. лицо,списание средств,794.06,наличный,Гродно,Приорбанк-USYB-168,16-06-2004,04:19:32,недостаточно средств,нет,0.0
540,юр. лицо,списание средств,362.68,безналичный,Минск,МаксБанк-JSHW-175,12-08-2014,02:12:04,успешно,да,28.06
542,юр. лицо,получение средств,169.99,безналичный,Могилев,Беларусбанк-IQHL-266,09-09-2014,10:41:46,успешно,нет,0.0
543,юр. лицо,получение средств,264.34,наличный,Гродно,Беларусбанк-NLKN-297,27-09-2019,09:15:46,успешно,нет,0.0
550,физ. лицо,списание средств,693.88,наличный,Могилев,МаксБанк-IUCE-420,21-12-2023,22:40:57,неправильный ввод пин-кода,да,57.04
551,физ. лицо,списание средств,65.33,наличный,Могилев,БелАгропромбанк-JPCI-061,25-09-2021,19:10:59,успешно,нет,0.0
557,физ. лицо,списание средств,730.04,безналичный,Гродно,Приорбанк-ZJVK-937,04-05-2013,19:00:07,недостаточно средств,да,45.84
562,физ. лицо,получение средств,332.78,наличный,Минск,Белинвестбанк-JGQG-042,02-01-2000,21:13:38,успешно,нет,0.0
563,юр. лицо,получение средств,540.4,безналичный,Гродно,МаксБанк-YJBP-062,31-12-2013,15:35:42,успешно,нет,0.0
565,физ. лицо,списание средств,615.21,наличный,Витебск,Белинвестбанк-CANQ-349,15-09-2005,11:32:14,недостаточно средств,да,11.85
567,юр. лицо,списание средств,109.35,наличный,Гродно,Приорбанк-NBGD-250,25-04-2016,00:34:22,неправильный ввод пин-кода,нет,0.0
568,физ. лицо,списание средств,90.18,безналичный,Брест,МаксБанк-XAZC-411,16-06-2019,06:10:41,недостаточно средств,да,3.71
569,физ. лицо,списание средств,601.6,наличный,Могилев,БелАгропромбанк-XGGM-999,21-02-2021,17:23:58,успешно,нет,0.0
575,физ. лицо,получение средств,759.87,безналичный,Могилев,МаксБанк-LNGC-543,22-04-2021,02:47:15,успешно,нет,0.0
578,юр. лицо,списание средств,51.03,безналичный,Гродно,МаксБанк-PVAG-045,09-10-2000,10:42:09,успешно,да,5.1
580,физ. лицо,списание средств,835.88,безналичный,Гомель,БелАгропромбанк-SSEU-897,12-09-2024,07:51:22,неправильный ввод пин-кода,нет,0.0
583,физ. лицо,списание средств,799.95,наличный,Гродно,Приорбанк-NHIV-443,05-10-2014,18:54:13,успешно,да,52.63
589,физ. лицо,получение средств,724.8,безналичный,Гродно,Приорбанк-YBYF-760,06-01-2011,13:06:31,успешно,нет,0.0
590,юр. лицо,получение средств,268.41,наличный,Гродно,Беларусбанк-DRIW-149,21-09-2001,12:11:56,успешно,нет,0.0
591,юр. лицо,получение средств,857.02,безналичный,Минск,Белинвестбанк-ACML-702,08-05-2010,13:53:53,успешно,нет,0.0
592,юр. лицо,списание средств,412.97,наличный,Брест,Приорбанк-XIKC-961,19-04-2001,15:07:44,неправильный ввод пин-кода,нет,0.0
606,юр. лицо,получение средств,516.59,наличный,Гродно,МаксБанк-KVNV-716,01-01-2024,18:27:49,успешно,нет,0.0
613,юр. лицо,получение средств,441.05,безналичный,Гродно,Приорбанк-AVQB-537,04-11-2018,21:15:45,успешно,нет,0.0
617,физ. лицо,списание средств,326.49,наличный,Минск,Белинвестбанк-KVAJ-753,15-03-2024,04:08:42,недостаточно средств,да,32.14
623,физ. лицо,получение средств,723.35,наличный,Брест,Белинвестбанк-UVPE-845,27-08-2023,06:18:34,успешно,нет,0.0
624,юр. лицо,получение средств,876.63,безналичный,Могилев,БелАгропромбанк-EBTC-589,05-06-2014,23:11:25,успешно,нет,0.0
627,юр. лицо,списание средств,817.5,наличный,Гомель,Белинвестбанк-PAYK-780,03-09-2008,22:55:42,неправильный ввод пин-кода,нет,0.0
630,физ. лицо,получение средств,24.86,безналичный,Минск,БелАгропромбанк-BINN-273,05-09-2022,20:11:19,успешно,нет,0.0
632,физ. лицо,получение средств,430.34,наличный,Минск,Приорбанк-NSMA-749,26-07-2023,19:57:33,успешно,нет,0.0
642,юр. лицо,списание средств,460.56,наличный,Могилев,Белинвестбанк-TTBP-939,21-04-2007,06:46:26,неправильный ввод пин-кода,нет,0.0
643,физ. лицо,списание средств,142.9,безналичный,Брест,Приорбанк-OHKF-998,12-01-2001,03:31:32,неправильный ввод пин-кода,да,5.27
645,юр. лицо,списание средств,933.79,безналичный,Витебск,МаксБанк-IMRH-128,02-03-2006,02:15:39,неправильный ввод пин-кода,да,15.52
648,физ. лицо,списание средств,197.22,безналичный,Могилев,БелАгропромбанк-YRUH-370,18-04-2001,15:55:05,недостаточно средств,да,14.35
651,юр. лицо,списание средств,342.33,безналичный,Гродно,МаксБанк-QEFF-360,27-12-2008,17:48:35,неправильный ввод пин-кода,нет,0.0
653,физ. лицо,получение средств,650.89,наличный,Витебск,Приорбанк-HZIR-502,11-09-2020,16:50:10,успешно,нет,0.0
654,юр. лицо,списание средств,474.26,наличный,Брест,БелАгропромбанк-EOID-683,18-08-2017,15:57:19,недостаточно средств,да,37.31
666,юр. лицо,списание средств,430.7,безналичный,Гомель,Беларусбанк-CYCG-951,16-03-2006,20:47:44,успешно,нет,0.0
669,юр. лицо,списание средств,65.9,наличный,Минск,Белинвестбанк-MWTT-013,28-11-2002,19:43:23,недостаточно средств,нет,0.0
686,физ. лицо,списание средств,883.73,наличный,Минск,Беларусбанк-ZNYG-088,16-05-2012,14:38:13,успешно,нет,0.0
696,физ. лицо,списание средств,167.07,наличный,Брест,МаксБанк-XEEB-096,05-08-2024,21:01:39,недостаточно средств,нет,0.0
702,юр. лицо,получение средств,995.2,безналичный,Гомель,БелАгропромбанк-EKDJ-328,19-11-2001,19:45:31,успешно,нет,0.0
708,физ. лицо,получение средств,306.07,наличный,Могилев,Беларусбанк-AZTQ-490,06-06-2024,05:55:10,успешно,нет,0.0
718,физ. лицо,получение средств,500.48,наличный,Витебск,Приорбанк-MHFH-841,25-06-2023,21:20:41,успешно,нет,0.0
723,физ. лицо,списание средств,434.51,безналичный,Могилев,Белинвестбанк-QAUE-822,24-12-2003,12:57:29,успешно,нет,0.0
729,юр. лицо,получение средств,151.52,безналичный,Могилев,Приорбанк-MOMB-224,16-10-2016,07:55:00,успешно,нет,0.0
731,физ. лицо,списание средств,344.2,безналичный,Гомель,Беларусбанк-LAIL-643,02-02-2018,17:52:37,успешно,да,16.44
739,физ. лицо,получение средств,109.88,наличный,Гомель,Приорбанк-AHTV-663,07-12-2018,09:50:28,успешно,нет,0.0
745,физ. лицо,получение средств,54.79,наличный,Витебск,МаксБанк-NLNZ-524,01-03-2008,15:44:50,успешно,нет,0.0
746,физ. лицо,получение средств,622.14,наличный,Брест,Приорбанк-VEHX-191,08-09-2013,22:55:04,успешно,нет,0.0
747,физ. лицо,получение средств,761.72,наличный,Гомель,Приорбанк-TYGS-750,08-12-2009,00:20:19,успешно,нет,0.0
751,физ. лицо,получение средств,823.43,безналичный,Витебск,Приорбанк-MGEQ-530,15-10-2015,20:25:36,успешно,нет,0.0
759,физ. лицо,списание средств,65.17,наличный,Гродно,БелАгропромбанк-RVPA-165,19-09-2001,16:26:50,неправильный ввод пин-кода,нет,0.0
760,юр. лицо,получение средств,401.08,безналичный,Витебск,Беларусбанк-TMGX-111,30-09-2020,11:12:44,успешно,нет,0.0
762,физ. лицо,списание средств,915.17,безналичный,Гомель,МаксБанк-FOUT-911,09-12-2009,17:56:15,успешно,да,35.68
763,физ. лицо,списание средств,55.17,безналичный,Минск,Приорбанк-XKFV-355,23-04-2020,19:48:26,недостаточно средств,да,3.19
775,физ. лицо,получение средств,369.01,безналичный,Минск,МаксБанк-EDMG-031,09-10-2017,14:05:01,успешно,нет,0.0
780,юр. лицо,получение средств,484.89,безналичный,Минск,Беларусбанк-BITY-418,07-09-2014,11:00:15,успешно,нет,0.0
783,юр. лицо,списание средств,343.25,безналичный,Витебск,МаксБанк-FZKL-579,23-01-2024,11:52:09,неправильный ввод пин-кода,нет,0.0
784,юр. лицо,списание средств,73.93,наличный,Брест,МаксБанк-FYGV-132,03-06-2003,12:16:37,недостаточно средств,нет,0.0
795,юр. лицо,списание средств,603.02,наличный,Могилев,БелАгропромбанк-TUYD-722,19-04-2005,15:57:26,недостаточно средств,нет,0.0
803,физ. лицо,получение средств,682.68,наличный,Витебск,Белинвестбанк-PZRQ-262,05-12-2019,21:48:28,успешно,нет,0.0
807,юр. лицо,списание средств,472.84,безналичный,Гродно,Приорбанк-KAFU-176,24-05-2016,19:06:00,неправильный ввод пин-кода,да,22.12
809,юр. лицо,получение средств,153.4,наличный,Брест,МаксБанк-EFMH-396,28-01-2012,12:13:30,успешно,нет,0.0
823,юр. лицо,получение средств,691.76,безналичный,Минск,Приорбанк-IBXY-205,07-08-2012,23:16:45,успешно,нет,0.0
832,юр. лицо,получение средств,778.49,наличный,Минск,БелАгропромбанк-IRNL-465,06-04-2016,23:07:35,успешно,нет,0.0
837,юр. лицо,списание средств,143.59,безналичный,Брест,МаксБанк-KENE-121,24-04-2005,22:07:54,успешно,нет,0.0
843,физ. лицо,списание средств,269.03,наличный,Гродно,МаксБанк-BDNW-995,09-08-2000,14:00:27,недостаточно средств,нет,0.0
844,физ. лицо,получение средств,862.7,наличный,Могилев,Приорбанк-PLRM-791,23-11-2015,03:03:57,успешно,нет,0.0
852,юр. лицо,списание средств,207.57,наличный,Гродно,МаксБанк-HYVJ-528,05-07-2004,02:47:03,неправильный ввод пин-кода,нет,0.0
853,юр. лицо,получение средств,255.19,наличный,Гродно,Белинвестбанк-HZYR-717,24-10-2019,13:04:20,успешно,нет,0.0
855,юр. лицо,списание средств,340.61,наличный,Гродно,МаксБанк-GWJF-597,20-03-2024,09:49:03,успешно,нет,0.0
859,физ. лицо,списание средств,900.07,наличный,Гродно,Приорбанк-QEYL-517,13-03-2000,14:24:54,неправильный ввод пин-кода,да,86.48
861,физ. лицо,списание средств,642.62,безналичный,Могилев,Приорбанк-FUXK-894,07-05-2021,13:13:54,недостаточно средств,нет,0.0
864,физ. лицо,получение средств,506.44,наличный,Могилев,Приорбанк-IYGY-295,07-05-2005,20:24:56,успешно,нет,0.0
867,юр. лицо,получение средств,170.43,безналичный,Гомель,МаксБанк-LPLX-144,03-11-2002,07:29:06,успешно,нет,0.0
868,физ. лицо,списание средств,227.09,наличный,Гомель,МаксБанк-BPZH-335,11-04-2010,14:24:00,неправильный ввод пин-кода,да,15.2
881,физ. лицо,получение средств,831.86,безналичный,Витебск,Белинвестбанк-JZKB-647,02-06-2023,12:46:20,успешно,нет,0.0
882,юр. лицо,получение средств,923.96,безналичный,Брест,Беларусбанк-RYUS-172,17-07-2023,05:01:15,успешно,нет,0.0
886,физ. лицо,получение средств,220.07,наличный,Могилев,Беларусбанк-WSLU-714,04-05-2014,04:31:56,успешно,нет,0.0
887,физ. лицо,списание средств,745.49,наличный,Минск,БелАгропромбанк-PLTG-916,02-03-2011,18:52:37,неправильный ввод пин-кода,да,55.61
888,физ. лицо,списание средств,833.01,наличный,Гомель,Белинвестбанк-HRVZ-873,05-02-2018,19:32:36,неправильный ввод пин-кода,да,34.0
892,юр. лицо,списание средств,433.25,безналичный,Минск,Беларусбанк-MNIU-672,19-01-2019,07:43:37,недостаточно средств,да,40.56
904,юр. лицо,списание средств,637.76,наличный,Брест,Приорбанк-IDWL-621,17-11-2007,15:46:07,успешно,да,45.41
909,юр. лицо,получение средств,254.59,наличный,Гомель,МаксБанк-QXCY-117,16-08-2005,20:37:05,успешно,нет,0.0
914,юр. лицо,списание средств,767.54,безналичный,Минск,Белинвестбанк-GAOL-080,02-12-2018,18:41:54,успешно,нет,0.0
917,физ. лицо,списание средств,881.1,наличный,Минск,БелАгропромбанк-VGBQ-746,28-08-2015,16:07:25,недостаточно средств,нет,0.0
919,юр. лицо,получение средств,238.34,безналичный,Брест,МаксБанк-BXRA-891,24-07-2005,06:00:55,успешно,нет,0.0
922,физ. лицо,списание средств,684.46,наличный,Минск,МаксБанк-QYQR-529,30-10-2004,04:09:19,неправильный ввод пин-кода,да,40.18
925,физ. лицо,получение средств,739.78,безналичный,Гомель,Приорбанк-QZHM-481,28-01-2004,19:41:25,успешно,нет,0.0
926,физ. лицо,списание средств,801.11,наличный,Гродно,БелАгропромбанк-RADG-863,29-06-2012,03:26:52,неправильный ввод пин-кода,нет,0.0
930,юр. лицо,получение средств,680.51,наличный,Гродно,БелАгропромбанк-ABOW-002,29-11-2013,00:06:01,успешно,нет,0.0
933,физ. лицо,списание средств,4.85,безналичный,Минск,Приорбанк-BJAV-663,21-06-2008,03:48:03,успешно,да,0.22
936,физ. лицо,получение средств,177.12,безналичный,Гродно,Белинвестбанк-DQGO-634,24-09-2007,08:08:50,успешно,нет,0.0
